old new
8c84941950cc1fede99779ae3c6e32c4ca32d722 8c84941950cc1fede99779ae3c6e32c4ca32d722
148e1c6e56d888b3c5f8ecad6bd0104f55aba502 148e1c6e56d888b3c5f8ecad6bd0104f55aba502
5269dd0b5af97845d76199516c2d74be190e99f0 5269dd0b5af97845d76199516c2d74be190e99f0
bb9f2df2385538732ac6fc67b38053346078cb51 bb9f2df2385538732ac6fc67b38053346078cb51
6b1ff425696cce2f194cd9c34cdaeb0cd780768a 6b1ff425696cce2f194cd9c34cdaeb0cd780768a
193784d4c1e51598d62859bed1e0cb05fe5d909c 193784d4c1e51598d62859bed1e0cb05fe5d909c
0c80e3e38c4fb3b1a833a0ea52919f7ca426d738 0c80e3e38c4fb3b1a833a0ea52919f7ca426d738
8877e3fe147caa503cc63579a4bd16c83cebb1d0 8877e3fe147caa503cc63579a4bd16c83cebb1d0
a5ddde7e4e1ec459b42b13352d1e93f02e722b0e a5ddde7e4e1ec459b42b13352d1e93f02e722b0e
3ad0dd4480e4a55887c6effb7dfcf7dd42221475 3ad0dd4480e4a55887c6effb7dfcf7dd42221475
5638ec58dae190ce6af2cdb175575bfa7d6c6389 5638ec58dae190ce6af2cdb175575bfa7d6c6389
ebb53b8b23b88202a923eaa6756eec688157ad41 b16c1133e5a5e3216d59188852dcc9a30be619eb
d95e3aa66f3ef4401199ae21988d07f6fab47973 644403bde8dc728b90d730f995407cc31c8594f8
f42446ed6c3e196a7f069c7092c0c0a010fefbd6 af95fb41ee9a520a49e4570b50accaf8a69f6a36
844e5fba733cbc9c7ef1b7a14366249612665a0e 8371e77c6868e08d260b6ead75a3fb3bd361cd9a
1bc6b92a13f47fcae840837de50609972cf4cd26 e8f5fc8abfcace3c10b0d41f6195610ba5501b43
9b1d7b68f41a20a8ad2b93c619995178b4c4b3a5 1b016d5ddb12743b7d89c48f010e8740b00e55c1
f573dc4db1adfeb6c6d8d083f3030b0ef1e35d3c 94f48dae27382482c4574ac1e7b0d2cc0ce4e93a
d7c235f0ce17c37f508ffb71177d942b941f9b73 2eebaa9ba076514d5b93ffc1d0a8badd4f0d7881
3a4ad3e3924bafabb71e502a6cca3fb554b9627e 3d4cc496232f79b679bb17b404bb07c01af8fa43
3dd0ab8379151cc2f7cbf000d7cdb49e83e4f403 5a7d5836c0de7500458e1224f9d6825576e011c8
cb9314e2a1a658f396c5f1bac81e567bbe04d9c0 5504255df8a319836f9f299854141581ab3dc26c
fe2ae8d9b003d63e9a9de00c76c888fa4aa34393 5d98fd2f03437de1d57bd3168808a54cf9aec0e2
9cd0806e6f5bd0352ce5a6b04b7df817f42f13f6 c3f920f4ec31ead6e6450afae3ae16e1f91ad9bd
1983be7b1d285180e00e8ad87c8b99c8738ba0eb 4751cb4c368c5fb325ee530359bf4f5e13706b48
7c9dd768b34a37a61abd61f1cd24eae8e0f56056 ca2d625f0fac38a73d1422117266d3fd7ec431da
cdf6bbd38cba49f9fa727c6f1f03d361d366cdfb 11865286b35285247b5800a7b02c2a61c0f7f461
8d5def3e0dd24b11d8f0eebf49f2f9b4198c0116 16a9aef681e10425f2ad63817a64450d46a6c4b5
536dea4b1de113f6f07f5b0bbf2bceaf8ee16a1e 15c08f7e5613f0a9b694df89c03cc84fba97fe1a
770c43a37f5c394aabecf335f2a176a8c16af4e7 fa22abba85b111c7329647437cd2f9d6bc919171
fcde3bb674d8a559f2065852949ddf5add8966f2 22864cdebc115e6797f552ac0b499a3c5de8d0da
1d5c025e85338f5b69fcd268e05e4c411b9c70f7 a61aece088df625aabe0b7d26a948be7d60af6f1
