original_path,current_project,commit_or_tag,copyright_holder,derived_from,license_expression,SPDX_identifier,port_status,modified_by_port,Saxum_candidate_use
sys/vfs/hammer2/CHANGES,dragonfly,22b053204886,,,NONE,,dropped,,docs
sys/vfs/hammer2/DESIGN,dragonfly,22b053204886,,,NONE,,dropped,,docs
sys/vfs/hammer2/FREEMAP,dragonfly,22b053204886,,,NONE,,dropped,,docs
sys/vfs/hammer2/Makefile,dragonfly,22b053204886,,,NONE,,freebsd+netbsd,0.897,docs
sys/vfs/hammer2/TODO,dragonfly,22b053204886,,,NONE,,dropped,,docs
sys/vfs/hammer2/hammer2.h,dragonfly,22b053204886,The DragonFly Project,Matthew Dillon;Venkatesh Srinivas,BSD-3-Clause,,freebsd+netbsd+openbsd,0.592,rewrite
sys/vfs/hammer2/hammer2_admin.c,dragonfly,22b053204886,The DragonFly Project,Matthew Dillon,BSD-3-Clause,,freebsd+netbsd+openbsd,0.599,rewrite
sys/vfs/hammer2/hammer2_bulkfree.c,dragonfly,22b053204886,The DragonFly Project,Matthew Dillon,BSD-3-Clause,,freebsd+netbsd+openbsd,0.276,carry
sys/vfs/hammer2/hammer2_ccms.c,dragonfly,22b053204886,The DragonFly Project,Matthew Dillon,BSD-3-Clause,,dropped,,drop
sys/vfs/hammer2/hammer2_ccms.h,dragonfly,22b053204886,The DragonFly Project,Matthew Dillon,BSD-3-Clause,,dropped,,drop
sys/vfs/hammer2/hammer2_chain.c,dragonfly,22b053204886,The DragonFly Project,Matthew Dillon;Venkatesh Srinivas,BSD-3-Clause,,freebsd+netbsd+openbsd,0.244,carry
sys/vfs/hammer2/hammer2_cluster.c,dragonfly,22b053204886,The DragonFly Project,Matthew Dillon,BSD-3-Clause,,freebsd+netbsd+openbsd,0.669,rewrite
sys/vfs/hammer2/hammer2_disk.h,dragonfly,22b053204886,The DragonFly Project,Matthew Dillon;Venkatesh Srinivas,BSD-3-Clause,,freebsd+netbsd+openbsd,0.089,carry
sys/vfs/hammer2/hammer2_flush.c,dragonfly,22b053204886,The DragonFly Project,Matthew Dillon;Venkatesh Srinivas,BSD-3-Clause,,freebsd+netbsd+openbsd,0.221,carry
